,Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Che Adams,FW,sct Scotland,27-364,1996,2.3,31,28,3,0,0,1,1,0,0,0,0,0,27,0,0,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-187,1997,5.3,252,219,32,4,3,2,3,28,0,0,0,0,221,1,0,Matches
2,3,Arlind Ajeti,DF,al Albania,30-290,1993,3.0,112,105,6,6,0,1,0,0,0,0,0,0,93,1,2,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-358,1995,5.3,331,304,26,11,0,0,0,0,0,0,0,0,304,1,2,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-120,1994,3.7,206,197,9,6,1,0,0,0,0,0,0,0,185,0,0,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-144,1995,5.2,274,227,44,11,0,0,1,33,0,0,0,0,239,3,5,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-004,2000,0.8,17,16,1,0,0,0,3,0,1,1,0,0,14,0,1,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-264,1998,1.2,38,36,1,0,1,0,3,1,0,0,0,0,22,1,1,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-278,1998,1.5,101,97,4,3,0,3,5,0,1,0,1,0,84,0,2,Matches
9,10,Denis Alibec,FW,ro Romania,33-188,1991,0.3,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-049,2000,5.0,105,98,7,1,2,1,8,0,1,0,0,0,80,0,1,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-053,1997,0.6,16,16,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-220,2000,0.6,14,13,0,0,0,0,0,0,0,0,0,0,9,1,0,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-041,1996,4.0,298,290,7,6,1,5,5,1,0,0,0,0,249,1,2,Matches
14,15,Robert Andrich,MF,de Germany,29-293,1994,3.5,232,231,1,1,1,0,1,0,0,0,0,0,208,0,3,Matches
15,16,Waldemar Anton,DF,de Germany,27-357,1996,0.4,24,23,1,0,0,0,0,1,0,0,0,0,20,0,0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-103,1992,0.2,10,8,2,0,0,0,3,1,1,1,0,0,7,0,0,Matches
17,18,Marko Arnautović,FW,at Austria,35-083,1989,3.1,54,52,2,1,0,0,2,0,0,0,0,0,39,0,4,Matches
18,19,Jasir Asani,FW,al Albania,29-053,1995,2.3,38,38,0,0,1,0,4,0,0,0,0,0,31,0,0,Matches
19,20,Kristjan Asllani,MF,al Albania,22-124,2002,3.0,189,168,20,15,2,6,13,0,5,5,0,0,155,1,3,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-244,1994,4.0,179,169,9,8,2,4,1,1,0,0,0,0,156,1,2,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-357,2001,0.3,12,11,1,0,0,0,0,0,1,0,0,0,11,0,0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-215,1997,3.1,164,145,19,0,0,1,6,19,0,0,0,0,127,0,4,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-134,1999,2.7,80,75,4,0,1,0,4,0,1,1,0,0,61,1,1,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-082,2003,0.5,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-306,1994,1.3,37,21,16,0,0,0,1,16,0,0,0,0,24,0,0,Matches
27,27,Iván Balliu,DF,al Albania,32-192,1992,1.0,43,35,8,1,0,0,0,7,0,0,0,0,33,0,2,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-297,1992,3.0,139,107,29,2,0,0,5,27,0,0,0,0,103,3,4,Matches
29,29,Antonín Barák,MF,cz Czechia,29-221,1994,0.5,24,22,1,0,0,0,1,0,0,0,0,0,20,1,0,Matches
30,30,Bradley Barcola,"FW,MF",fr France,21-313,2002,1.1,32,32,0,0,0,0,1,0,0,0,0,0,27,0,1,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-308,1994,4.0,211,200,10,6,0,4,1,0,0,0,0,0,182,1,2,Matches
32,32,Nicolò Barella,MF,it Italy,27-155,1997,3.7,261,256,3,2,1,1,2,0,0,0,0,0,239,2,2,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-089,1999,4.0,333,315,18,9,0,0,1,2,0,0,0,0,306,0,3,Matches
34,34,Martin Baturina,FW,hr Croatia,21-146,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-345,1999,3.2,105,101,3,0,3,1,6,1,0,0,0,0,72,1,4,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-088,1998,1.0,35,31,4,2,0,0,0,0,0,0,0,0,29,0,0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-090,1996,3.0,101,86,14,7,0,1,0,7,0,0,0,0,89,1,0,Matches
38,38,Maximilian Beier,FW,de Germany,21-268,2002,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,2,Matches
39,39,Jude Bellingham,MF,eng England,21-012,2003,6.4,332,325,6,3,2,3,8,3,0,0,0,0,290,1,6,Matches
40,40,László Bénes,MF,sk Slovakia,26-306,1997,0.8,52,47,5,2,1,1,6,0,3,2,1,0,41,0,1,Matches
