,Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
0,1,Che Adams,FW,sct Scotland,27-361,1996,2.3,2,0.86,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-184,1997,5.3,9,1.7,9,0,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
2,3,Arlind Ajeti,DF,al Albania,30-287,1993,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-355,1995,5.3,7,1.4,7,0,0,0,0,0,2,0.4,2,0,0,0,0,0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-117,1994,3.7,4,1.07,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-141,1995,4.2,5,1.18,4,0,0,0,0,1,1,0.24,1,0,0,0,0,0,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-001,2000,0.8,3,3.91,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-261,1998,1.2,5,4.29,3,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-275,1998,1.5,3,2.11,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
9,10,Denis Alibec,FW,ro Romania,33-185,1991,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-046,2000,5.0,11,2.2,8,0,2,0,1,0,1,0.2,1,0,0,0,0,0,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-050,1997,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-217,2000,0.6,1,1.67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-038,1996,4.0,4,1.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
14,15,Robert Andrich,MF,de Germany,29-290,1994,3.5,9,2.82,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
15,16,Waldemar Anton,DF,de Germany,27-354,1996,0.4,2,60.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-100,1992,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
17,18,Marko Arnautović,FW,at Austria,35-080,1989,3.1,4,1.29,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
18,19,Jasir Asani,FW,al Albania,29-050,1995,2.3,6,2.57,4,0,0,1,1,0,1,0.43,1,0,0,0,0,0,Matches
19,20,Kristjan Asllani,MF,al Albania,22-121,2002,3.0,14,4.67,8,4,1,0,0,1,1,0.33,1,0,0,0,0,0,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-241,1994,4.0,13,3.27,9,1,0,0,1,2,2,0.5,1,0,0,0,0,1,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-354,2001,0.3,2,6.67,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-212,1997,3.1,8,2.57,4,2,0,0,1,1,1,0.32,0,1,0,0,0,0,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-131,1999,2.7,3,1.1,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-079,2003,0.5,2,3.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-303,1994,1.3,1,0.99,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
27,27,Iván Balliu,DF,al Albania,32-189,1992,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-294,1992,3.0,7,2.33,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-218,1994,0.5,4,8.78,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
